Time(ms), Hdg, Alt, Temp, optflow_intTime,optflow_intX,optflow_intY,optflow_intXgyro,optflow_intYgyro,optflow_intZgyro,optflow_quality,optflow_timeDel,optflow_dist,imu_orientX,imu_orientY,imu_orientZ,imu_orientW,imu_angularX,imu_angularY,imu_angularZimu_linAccelX,imu_linAccelY,imu_linAccelZ
-551802,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-549471,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-546743,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-544426,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-541509,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-538865,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-536636,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-534323,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-531757,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-529399,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-526955,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-524608,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-522029,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-519355,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-516713,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-514389,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-510215,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-507114,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-503631,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-501093,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-497625,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-495230,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-492844,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-489777,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-487458,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-485150,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-482710,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-479771,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-476767,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-474182,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-471690,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-468436,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-465274,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-460522,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
-456905,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-451807,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-449497,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-447247,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-444858,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-442464,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-439933,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
-437222,120.63,0.11,41.45,0,0,0,0,0,0,0,0,0,0.00533441,-0.00454242,0.264137,-0.96446,0.00040657,0.00253572,-0.0016515,0.127486,0.0294199,9.63013
